video_id,start,end,bbox,fps,width,height,partition
LiUClSItcy0,6855,7128,438-86-788-436,24.0,1280,720,test
DGvPfD1Dd1U,14815,15208,1180-101-1657-579,25.0,1920,1080,train
Ubbmje44gLg,11585,11723,909-161-1290-543,25.0,1920,1080,train
g2m97gPI70I,16699,16891,244-86-574-417,30.0,1280,720,train
Mr8nvXvl-y8,719,970,332-152-643-463,25.0,1280,720,train
V1yW5IsnSjo,12145,12273,607-137-932-461,30.0,1280,720,train
kmbui1xF8DE,17256,17534,659-138-1165-643,25.0,1920,1080,train
RjquHTj4HlY,11734,12042,1023-188-1498-661,24.0,1920,1080,train
GIBoCJeB3HQ,3803,3962,229-230-597-599,24.0,1920,1080,train
BoRUrWcdkQ4,589,745,449-105-798-453,30.0,1280,720,train
I3BJVaioX_k,22294,22546,777-77-1313-612,25.0,1920,1080,train
UMhLBPPtlrY,23040,23306,655-58-1008-411,30.0,1280,720,test
idfv7Lw4Y_s,2452,2701,715-83-1232-600,25.0,1920,1080,train
pxEcvU0Vp_M,14404,14610,825-207-1152-533,30.0,1920,1080,train
YUUP2MMz7PU,17126,17263,713-180-1133-600,24.0,1920,1080,train
cK74vhqzeeQ,18362,18592,461-84-793-415,25.0,1280,720,test
aTfwA1TaH3Q,12919,13059,732-56-1067-391,24.0,1280,720,train
I3BJVaioX_k,511,641,537-141-1026-631,25.0,1920,1080,train
-nKdufEaL8k,7202,7434,266-121-652-508,25.0,1920,1080,train
2wseM6wWd74,12014,12363,608-41-917-350,24.0,1280,720,train
gypAjPp6eps,16669,16808,310-88-650-428,24.0,1280,720,train
ClfBxWPkBKU,24118,24322,222-42-568-390,30.0,1280,720,train
TLZ6W-Nqv1I,314,448,1057-117-1514-575,25.0,1920,1080,train
360bU-vBJOI,11030,11186,795-165-1230-600,24.0,1920,1080,test
UMhLBPPtlrY,21859,22146,707-85-1021-399,30.0,1280,720,test
jAw8t2g-eVU,21784,22144,622-69-1135-583,30.0,1920,1080,train
TLZ6W-Nqv1I,10376,10568,1039-133-1437-531,25.0,1920,1080,train
C74amJRp730,16824,17085,766-55-1129-418,24.0,1280,720,train
360bU-vBJOI,10853,11004,741-180-1166-605,24.0,1920,1080,test
kmbui1xF8DE,8597,8782,747-152-1243-647,25.0,1920,1080,train
bGUVQaBdxKw,14130,14499,1185-100-1665-580,25.0,1920,1080,train
B43f89Y9f-A,19659,19857,1105-261-1480-636,30.0,1920,1080,train
4CGFPbFqdJ4,13554,13882,753-83-1257-587,24.0,1920,1080,train
bGUVQaBdxKw,2392,2628,1242-123-1662-543,25.0,1920,1080,train
BzeTjn0R2VY,16566,16817,694-50-1191-547,24.0,1920,1080,train
kaU7IPlg9PA,4193,4337,1161-101-1585-525,25.0,1920,1080,train
d38LKbYfWrs,2610,2807,730-88-1046-404,24.0,1280,720,train
a63t8r70QN0,1613,2039,922-239-1337-654,30.0,1920,1080,train
ONs9FCY74p0,3498,3629,1216-159-1653-596,24.0,1920,1080,train
zamvnyBB-SU,15610,15876,1078-36-1621-579,24.0,1920,1080,train
AEKy1AS75Zs,10278,10459,788-39-1344-595,25.0,1920,1080,train
esD6aaIjhek,10109,10314,439-19-814-392,30.0,1280,720,train
SF9qq6vQ3Pg,2546,2690,733-128-1235-629,24.0,1920,1080,train
CZNrOzgNWf4,7008,7147,754-76-1077-398,30.0,1280,720,train
iFTWM7HV2UI,11447,12032,684-111-1199-626,24.0,1920,1080,train
08z_xW-szwM,6317,6736,670-254-1058-642,30.0,1920,1080,train
U51MSK6nSQE,6747,7244,1240-111-1705-576,24.0,1920,1080,train
YUUP2MMz7PU,14064,14540,743-175-1166-599,24.0,1920,1080,train
5ErKrSyUpEo,15895,16145,286-85-769-567,24.0,1920,1080,train
a63t8r70QN0,21847,22019,241-261-585-606,30.0,1920,1080,train
4E_1AB1rsSw,509,674,1227-131-1649-553,24.0,1920,1080,test
PVXQUItNEDQ,12524,12939,613-62-917-365,24.0,1280,720,train
ddw1_3ZVjTE,6951,7207,487-103-815-430,24.0,1280,720,train
YUUP2MMz7PU,3555,3686,763-184-1172-592,24.0,1920,1080,train
-eBUcBfkVCo,46758,46901,484-121-817-455,30.0,1280,720,train
xDKth-qS8Jk,19917,20109,980-44-1549-612,25.0,1920,1080,train
yLfCCcVDUiU,5261,5463,922-167-1267-512,24.0,1920,1080,train
U51MSK6nSQE,9261,9551,1270-114-1716-560,24.0,1920,1080,train
zfbigT9I0Qg,6723,6933,1243-166-1690-614,24.0,1920,1080,train
phgjouv0BUA,20509,20703,342-166-715-540,24.0,1920,1080,train
iMFJef3xnmg,17073,17268,843-179-1271-607,30.0,1920,1080,train
GIrfNWed1Mk,9269,9486,1229-177-1692-640,24.0,1920,1080,test
i2l9v_seHCc,15736,16025,1218-156-1651-588,24.0,1920,1080,train
idfv7Lw4Y_s,13853,14130,695-88-1211-604,25.0,1920,1080,train
360bU-vBJOI,15287,15464,796-177-1216-598,24.0,1920,1080,test
9A7_xCrgX1U,19079,19270,1053-147-1553-648,24.0,1920,1080,test
1AT5klu_yAQ,13167,13330,212-70-672-530,24.0,1920,1080,train
e-BZigXlphY,15854,16226,701-74-1015-388,24.0,1280,720,train
UoMpbL_Fsig,532,720,461-63-774-376,24.0,1280,720,train
ONs9FCY74p0,20110,20295,1136-153-1581-598,24.0,1920,1080,train
eaCrsBtiYA4,18951,19400,263-110-790-638,24.0,1920,1080,train
BzeTjn0R2VY,18010,18206,270-13-870-614,24.0,1920,1080,train
2paoNvG5Nmo,49057,49289,656-206-1065-614,50.0,1920,1080,train
360bU-vBJOI,12867,13032,820-176-1240-596,24.0,1920,1080,test
2IFa0tqHrwE,6921,7133,1037-294-1429-685,24.0,1920,1080,train
4E_1AB1rsSw,10714,10884,1225-111-1700-585,24.0,1920,1080,test
0gks6ceq4eQ,17414,17568,1008-63-1519-575,24.0,1920,1080,test
ERSZb2wHFDw,11903,12049,800-180-1226-605,30.0,1920,1080,train
U51MSK6nSQE,12982,13375,1213-110-1672-568,24.0,1920,1080,train
BzeTjn0R2VY,20243,20385,671-61-1155-546,24.0,1920,1080,train
bNpx7gpSqbY,8243,8415,414-31-811-428,24.0,1280,720,train
cgxZ4H3gJ8c,15037,15423,419-67-779-427,24.0,1280,720,train
raCIUeGUr3s,828,962,403-80-709-386,30.0,1280,720,train
I3BJVaioX_k,18895,19194,620-101-1134-614,25.0,1920,1080,train
3zJHwOwirjA,6829,7078,405-161-770-525,24.0,1920,1080,train
t0Cr64zCc38,16937,17181,954-125-1453-624,24.0,1920,1080,train
iMFJef3xnmg,24671,25227,842-170-1303-632,30.0,1920,1080,train
PJLT0cAPNfs,4731,4905,1100-171-1545-616,24.0,1920,1080,train
LnJwH_PZXnM,20609,20825,986-134-1451-600,25.0,1920,1080,train
77HUdJ7Tij0,7186,7316,1222-109-1668-555,25.0,1920,1080,train
BzeTjn0R2VY,13774,13980,615-11-1192-588,24.0,1920,1080,train
iMFJef3xnmg,891,1078,669-182-1126-638,30.0,1920,1080,train
zbHe4RpgV80,7350,7492,615-211-1021-617,30.0,1920,1080,test
fO2htapfNhA,14908,15079,616-54-1126-562,24.0,1920,1080,train
RcGyVTAoXEU,10100,10243,649-60-993-404,25.0,1280,720,train
hU-aTB-heU0,17365,17560,752-127-1088-462,30.0,1920,1080,train
vQILP19qABk,9286,9565,682-108-1017-443,30.0,1280,720,train
1fZ915L1w7I,11968,12149,806-190-1208-593,30.0,1920,1080,train
lyR-K2CZIHQ,5664,5906,585-52-937-403,24.0,1280,720,train
I3BJVaioX_k,20337,20686,545-102-1065-623,25.0,1920,1080,train
4E_1AB1rsSw,10112,10411,1190-120-1652-583,24.0,1920,1080,test
0JGarsZE1rk,18217,18408,347-57-875-586,24.0,1920,1080,train
4E_1AB1rsSw,6255,6461,1198-107-1662-573,24.0,1920,1080,test
g2m97gPI70I,5586,5728,172-90-501-419,30.0,1280,720,train
-eBUcBfkVCo,46901,47078,485-119-818-452,30.0,1280,720,train
3lVNA4aF1lg,6525,6791,682-114-1189-621,25.0,1920,1080,train
1k89OTpDvIU,5282,5447,739-59-1091-411,30.0,1280,720,train
cZe3zcNoIKk,3813,3988,617-87-1166-635,25.0,1920,1080,train
UoMpbL_Fsig,780,962,466-64-777-375,24.0,1280,720,train
ON4iy8hq2hM,11970,12110,1094-174-1537-618,24.0,1920,1080,train
6wNif5SlN08,11660,11924,718-94-1058-434,24.0,1280,720,train
U51MSK6nSQE,5486,5673,1178-119-1606-547,24.0,1920,1080,train
yNhu0MG_2MA,14024,14297,676-55-1179-557,24.0,1920,1080,train
y7l5QHRY_AI,7139,7386,491-61-845-415,24.0,1280,720,train
tbvUCrS5_5I,4632,4773,712-123-1211-621,24.0,1920,1080,train
vQILP19qABk,13867,14019,699-120-1009-430,30.0,1280,720,train
VJoQj00RZHg,7527,7692,461-93-770-402,25.0,1280,720,train
pxEcvU0Vp_M,6057,6264,800-169-1193-563,30.0,1920,1080,train
LcNvkhS4UYg,10842,10979,850-164-1210-522,30.0,1920,1080,test
iFTWM7HV2UI,18446,18693,726-94-1262-631,24.0,1920,1080,train
4E_1AB1rsSw,4064,4342,1222-119-1667-564,24.0,1920,1080,test
YUUP2MMz7PU,2609,2952,752-186-1164-598,24.0,1920,1080,train
TLZ6W-Nqv1I,17442,17593,998-131-1478-611,25.0,1920,1080,train
kmbui1xF8DE,15953,16213,683-123-1225-665,25.0,1920,1080,train
rToBZSrxjgM,2341,2472,700-64-1039-403,24.0,1280,720,train
B43f89Y9f-A,14203,14426,529-270-923-665,30.0,1920,1080,train
BzeTjn0R2VY,5198,5382,258-56-827-625,24.0,1920,1080,train
27lMmdmy-b8,9976,10272,393-46-748-400,30.0,1280,720,train
yhMi0tkYyT8,19941,20307,492-58-839-404,30.0,1280,720,train
RovaUZY3e8k,2916,3169,324-17-735-429,24.0,1280,720,train
1fZ915L1w7I,554,752,793-105-1236-548,30.0,1920,1080,train
kaU7IPlg9PA,3917,4190,1196-99-1633-536,25.0,1920,1080,train
oGlsUYGMYks,2271,2455,404-76-748-420,24.0,1280,720,train
yNhu0MG_2MA,16183,16544,695-72-1174-551,24.0,1920,1080,train
vPn94XAUBoo,1562,1821,528-59-874-405,24.0,1280,720,train
yLfCCcVDUiU,7354,7607,902-340-1270-707,24.0,1920,1080,train
YUUP2MMz7PU,3692,3821,800-185-1209-595,24.0,1920,1080,train
U51MSK6nSQE,959,1199,1216-107-1663-554,24.0,1920,1080,train
iMFJef3xnmg,541,795,729-196-1172-638,30.0,1920,1080,train
iFTWM7HV2UI,13431,13905,709-142-1160-594,24.0,1920,1080,train
iMFJef3xnmg,21011,21913,855-179-1300-623,30.0,1920,1080,train
F3mzS32SH2Q,15905,16083,435-263-800-628,25.0,1920,1080,train
pxEcvU0Vp_M,21526,21722,796-197-1142-542,30.0,1920,1080,train
iFTWM7HV2UI,10355,10616,737-129-1204-595,24.0,1920,1080,train
jAw8t2g-eVU,8276,8728,692-103-1176-586,30.0,1920,1080,train
VMXdSkW6hns,12546,12870,679-67-1199-587,30.0,1920,1080,train
eaCrsBtiYA4,10465,10784,215-119-741-645,24.0,1920,1080,train
2VBkDNzeRZM,4732,4938,349-70-923-645,24.0,1920,1080,train
wYb3Wimn01s,402,534,878-101-1359-583,24.0,1920,1080,train
bGUVQaBdxKw,13965,14129,1226-113-1689-577,25.0,1920,1080,train
tuvxXnQrRv8,12883,13120,1224-123-1694-593,25.0,1920,1080,train
Juc_yvEkJuc,6698,6833,1106-73-1640-607,25.0,1920,1080,train
YUUP2MMz7PU,4967,5164,764-186-1176-598,24.0,1920,1080,train
ER0G2S9r7aE,11569,11705,576-135-1013-572,25.0,1920,1080,train
0gks6ceq4eQ,14103,14264,1030-69-1534-572,24.0,1920,1080,test
CTn0HYmMAYM,12038,12321,807-174-1301-667,25.0,1920,1080,train
zbHe4RpgV80,20694,21047,920-206-1323-609,30.0,1920,1080,test
501FEzbB1JI,7406,7594,246-74-597-425,30.0,1280,720,train
SF9qq6vQ3Pg,12614,12762,828-171-1256-599,24.0,1920,1080,train
iMFJef3xnmg,4140,4584,747-182-1186-621,30.0,1920,1080,train
77HUdJ7Tij0,13225,13483,1210-107-1698-595,25.0,1920,1080,train
kmbui1xF8DE,2148,2395,669-70-1247-649,25.0,1920,1080,train
2Brajdazp1o,11560,11741,703-83-1051-431,30.0,1280,720,train
B43f89Y9f-A,14427,14653,529-278-914-663,30.0,1920,1080,train
-7ORAKULel4,19858,20076,755-197-1224-665,25.0,1920,1080,train
9EVEmZ2c_es,13627,13824,675-76-1026-427,30.0,1280,720,train
pxEcvU0Vp_M,2773,3073,850-198-1192-539,30.0,1920,1080,train
ERSZb2wHFDw,2886,3100,750-173-1200-622,30.0,1920,1080,train
zMWYQRKuc5M,20879,21008,798-51-1112-365,24.0,1280,720,train
oGlsUYGMYks,11880,12201,354-61-742-448,24.0,1280,720,train
fWqKalpYgLo,1296,1455,334-164-730-560,25.0,1920,1080,train
g3vSYbT1Aco,17247,17381,575-140-1051-616,24.0,1920,1080,train
ZCRC5_0kfiw,10674,10852,697-68-1030-403,30.0,1280,720,train
rftagV38YKY,12970,13145,247-64-573-391,24.0,1280,720,train
BXlnrFpCu0c,26558,26762,433-81-741-388,30.0,1280,720,train
fO2htapfNhA,10834,11101,689-62-1196-569,24.0,1920,1080,train
g3vSYbT1Aco,12113,12300,491-111-1011-631,24.0,1920,1080,train
2paoNvG5Nmo,18161,18303,781-156-1278-654,50.0,1920,1080,train
JKS7HWy2TRU,1690,2062,1138-166-1597-624,24.0,1920,1080,train
y7l5QHRY_AI,587,1006,439-64-803-428,24.0,1280,720,train
-H1tUMRJoeo,1296,1442,1021-84-1544-608,24.0,1920,1080,train
CsECS5qsGLs,5768,5922,820-91-1138-410,25.0,1280,720,train
Cr1usGUSuL4,7426,7555,542-96-890-443,24.0,1280,720,train
iFTWM7HV2UI,6125,6435,671-49-1294-672,24.0,1920,1080,train
i-icXZ2tMRM,12258,12558,590-104-905-419,24.0,1280,720,train
UQzvNIIMayo,8793,9029,721-82-1267-628,30.0,1920,1080,train
oGlsUYGMYks,15430,15725,383-77-723-416,24.0,1280,720,train
RDIy58g9n2k,7326,7494,403-80-719-395,24.0,1280,720,train
U4gR_cd6xOc,3971,4121,253-84-690-521,24.0,1920,1080,train
tuvxXnQrRv8,3137,3330,1170-128-1645-604,25.0,1920,1080,train
QeIrdqU0o9s,5982,6229,468-88-778-398,24.0,1280,720,train
v3-ZTqj2_kw,23193,23383,307-54-651-398,30.0,1280,720,train
r-YXvkWLy-g,7151,7366,310-118-794-603,24.0,1920,1080,train
Xb1Wq4NA290,13417,13602,982-89-1428-535,24.0,1920,1080,train
yjYrxcGSWX4,7930,8096,327-265-725-664,25.0,1920,1080,train
cK74vhqzeeQ,1775,2079,333-46-678-390,25.0,1280,720,test
iMFJef3xnmg,1766,1895,705-194-1135-624,30.0,1920,1080,train
yNhu0MG_2MA,1526,1929,722-139-1190-607,24.0,1920,1080,train
1N39Z0ODeME,8820,9044,506-162-821-476,30.0,1280,720,train
-nKdufEaL8k,1783,1933,259-123-650-514,25.0,1920,1080,train
eemOZfsrKdg,1065,1255,383-144-772-534,25.0,1920,1080,train
501FEzbB1JI,10268,10443,280-65-659-444,30.0,1280,720,train
uuatZO76MgQ,2428,2636,963-89-1449-575,30.0,1920,1080,train
lV3trdyDdHE,16576,16818,578-36-977-435,25.0,1280,720,train
j-S03JfgHEA,2604,2742,772-75-1103-404,25.0,1280,720,train
3lVNA4aF1lg,2338,2554,699-138-1193-632,25.0,1920,1080,train
QeIrdqU0o9s,5459,5642,447-69-791-412,24.0,1280,720,train
AHV_BxlNzmM,17655,17839,727-133-1061-468,24.0,1920,1080,train
eemOZfsrKdg,10670,10973,569-75-1037-543,25.0,1920,1080,train
2Euof4PnjDk,11683,11931,751-113-1086-447,24.0,1280,720,train
9KvZy09vaNg,12208,12365,931-123-1355-548,24.0,1920,1080,train
xv4_L5zlYaA,15194,15386,660-156-1079-575,24.0,1920,1080,train
zpjxElfNpks,10561,10716,548-158-1015-624,25.0,1920,1080,test
cgxZ4H3gJ8c,16105,16318,385-69-745-429,24.0,1280,720,train
iB4MS1hsWXU,11324,11469,1012-124-1561-674,24.0,1920,1080,test
d6NKdnZvdoo,10763,10949,712-69-1040-396,25.0,1280,720,train
3wxBTEo8-T8,6514,6682,517-71-827-380,24.0,1280,720,test
54ST8bwOVyc,3983,4116,769-122-1219-572,24.0,1920,1080,train
bCucggordMM,11903,12040,301-183-746-628,24.0,1920,1080,test
y7l5QHRY_AI,2445,2710,428-54-781-407,24.0,1280,720,train
iFTWM7HV2UI,2425,2700,718-109-1249-640,24.0,1920,1080,train
yLfCCcVDUiU,14401,14559,1002-194-1349-540,24.0,1920,1080,train
QeIrdqU0o9s,7820,7991,376-66-726-416,24.0,1280,720,train
g9M3HIjHuq0,11056,11237,717-74-1054-411,24.0,1280,720,train
2ju61VPdTzw,21138,21274,457-76-770-387,30.0,1280,720,train
2paoNvG5Nmo,52760,52890,678-210-1115-647,50.0,1920,1080,train
raCIUeGUr3s,18608,18808,283-83-597-397,30.0,1280,720,train
qH4GAXXH29s,4171,4348,508-55-894-441,24.0,1280,720,train
ONs9FCY74p0,20805,20938,1133-153-1573-593,24.0,1920,1080,train
0DHywidLX6A,4696,4898,1068-132-1528-592,24.0,1920,1080,train
BXlnrFpCu0c,7692,8093,582-66-888-372,30.0,1280,720,train
RZgkjEdMbSw,2878,3025,1043-144-1503-605,24.0,1920,1080,train
iFTWM7HV2UI,27461,27836,741-94-1245-598,24.0,1920,1080,train
360bU-vBJOI,9474,9620,722-155-1192-625,24.0,1920,1080,test
wYb3Wimn01s,3364,3510,1005-80-1521-596,24.0,1920,1080,train
4E_1AB1rsSw,16185,16451,1215-123-1675-583,24.0,1920,1080,test
Juc_yvEkJuc,1721,1946,1145-141-1639-635,25.0,1920,1080,train
iMFJef3xnmg,14145,14649,796-157-1254-614,30.0,1920,1080,train
HCgv_HNoJrY,6985,7172,652-61-994-403,24.0,1280,720,train
t0Cr64zCc38,5724,5936,865-124-1361-620,24.0,1920,1080,train
oGlsUYGMYks,10112,10275,403-76-743-416,24.0,1280,720,train
I3BJVaioX_k,15742,15941,516-100-1064-648,25.0,1920,1080,train
oGlsUYGMYks,12737,12897,360-78-714-432,24.0,1280,720,train
8Dv2Hdf5TRg,5670,5856,556-69-887-400,24.0,1280,720,test
zbHe4RpgV80,3048,3221,502-207-886-591,30.0,1920,1080,test
1AT5klu_yAQ,10294,10479,194-48-692-546,24.0,1920,1080,train
FDhlOovaGrI,20017,20178,624-68-970-415,24.0,1280,720,test
DhnBn_c9f8Q,3002,3228,944-132-1430-618,24.0,1920,1080,train
9RTkZaX1cH0,10065,10291,311-78-654-421,30.0,1280,720,train
rYwTA5RA9eU,8589,8721,631-112-956-436,25.0,1280,720,train
gWPFJgLAzu4,15751,15952,676-51-1039-414,25.0,1280,720,train
9EVEmZ2c_es,8486,8868,726-46-1094-412,30.0,1280,720,train
VJoQj00RZHg,5864,6113,452-77-787-412,25.0,1280,720,train
ER15KmrB8h8,2508,2709,758-56-1307-605,24.0,1920,1080,train
PJLT0cAPNfs,7392,7627,1084-180-1519-614,24.0,1920,1080,train
lV3trdyDdHE,13121,13308,661-62-1001-401,25.0,1280,720,train
Hh09xlzxRmE,8629,8818,250-63-598-412,25.0,1280,720,train
27lMmdmy-b8,6544,6705,452-41-809-397,30.0,1280,720,train
U4gR_cd6xOc,8750,9090,391-52-880-541,24.0,1920,1080,train
ERSZb2wHFDw,3624,3897,750-177-1196-622,30.0,1920,1080,train
2IFa0tqHrwE,878,1063,969-300-1361-692,24.0,1920,1080,train
gJzSWacrkKo,5298,5427,1077-127-1536-586,25.0,1920,1080,test
Juc_yvEkJuc,3099,3249,1143-126-1628-611,25.0,1920,1080,train
zbHe4RpgV80,19622,19887,400-173-848-622,30.0,1920,1080,test
oGlsUYGMYks,4524,4665,359-87-692-420,24.0,1280,720,train
4CGFPbFqdJ4,6370,6664,749-88-1238-575,24.0,1920,1080,train
FDhlOovaGrI,10929,11233,304-56-652-404,24.0,1280,720,test
TLZ6W-Nqv1I,18766,18985,1042-131-1485-573,25.0,1920,1080,train
fO2htapfNhA,496,626,795-35-1339-579,24.0,1920,1080,train
UoMpbL_Fsig,7884,8028,487-38-824-376,24.0,1280,720,train
08z_xW-szwM,5044,5209,650-248-1041-639,30.0,1920,1080,train
EEjyPqyFe_s,18650,18899,693-55-1044-407,24.0,1280,720,train
360bU-vBJOI,1258,1545,731-151-1217-637,24.0,1920,1080,test
U51MSK6nSQE,7802,8074,1252-113-1704-563,24.0,1920,1080,train
FauPVZxDXxk,7454,7671,452-77-787-411,24.0,1280,720,train
GwRzjFQa_Og,6775,7595,578-66-1111-599,29.97,1920,1080,train
2_0aEezKvBE,2811,2945,510-73-820-384,30.0,1280,720,train
hs-YuHv0vUk,5291,5450,1052-69-1575-592,24.0,1920,1080,train
tFfYh9THuGo,14095,14334,267-102-768-603,24.0,1920,1080,train
y8ohTeRKVqs,14302,14513,390-80-919-608,24.0,1920,1080,train
BzeTjn0R2VY,1029,1183,552-46-1066-559,24.0,1920,1080,train
2VBkDNzeRZM,895,1218,434-71-943-580,24.0,1920,1080,train
ni4FV5zL6lM,4609,4750,335-54-702-422,24.0,1280,720,train
TdQ1eaZH-J8,2328,2538,335-109-650-424,30.0,1280,720,train
TLZ6W-Nqv1I,18582,18765,882-67-1473-658,25.0,1920,1080,train
yhMi0tkYyT8,3868,4037,479-75-792-388,30.0,1280,720,train
Kv0Xz0lMKDQ,4906,5347,1221-124-1691-594,25.0,1920,1080,train
3NdSVi38RM8,5706,5978,609-96-930-417,24.0,1280,720,train
16p9YRF0l-g,8670,8827,306-44-664-402,24.0,1280,720,train
fwvbx80QidM,3253,3524,1039-132-1550-643,24.0,1920,1080,train
b2Jv8vC-m3g,2261,2415,1031-137-1524-630,24.0,1920,1080,test
fO2htapfNhA,4109,4335,711-60-1206-556,24.0,1920,1080,train
hU-aTB-heU0,2405,2552,794-123-1134-463,30.0,1920,1080,train
ClfBxWPkBKU,14665,15393,180-37-531-388,30.0,1280,720,train
hJnEQCMA5Sg,8095,8256,696-101-1003-407,24.0,1280,720,train
cK74vhqzeeQ,12425,12799,521-54-857-390,25.0,1280,720,test
vC1uxXvPG0Q,14388,14621,346-79-649-381,24.0,1280,720,train
Kv0Xz0lMKDQ,14014,14209,1275-108-1764-597,25.0,1920,1080,train
xnfEBUI_YTE,12337,12493,747-152-1210-614,24.0,1920,1080,train
oEIYHTlbeLA,6578,6716,488-85-819-417,24.0,1280,720,train
5bXiuSrZUKg,21583,21739,311-25-729-443,30.0,1280,720,train
7Q59suYxIec,10991,11156,273-81-737-545,24.0,1920,1080,train
YUUP2MMz7PU,8145,8499,697-185-1111-599,24.0,1920,1080,train
CXvUdCdKTJY,5931,6095,372-93-692-413,24.0,1280,720,train
U51MSK6nSQE,3538,3816,1211-102-1682-573,24.0,1920,1080,train
5MuIMqhT8DM,21992,22166,745-104-1279-638,24.0,1920,1080,train
iwUkbi4_wWo,11939,12086,1164-109-1664-609,25.0,1920,1080,train
8v_GrrQs8ow,15456,15661,758-65-1108-414,24.0,1280,720,train
4E_1AB1rsSw,1526,1706,1219-123-1648-552,24.0,1920,1080,test
wzjVT07bcYA,10698,10878,1021-171-1482-631,24.0,1920,1080,train
fO2htapfNhA,8980,9184,699-60-1187-547,24.0,1920,1080,train
DsrxbqFo41k,19914,20055,470-35-844-408,24.0,1280,720,test
7Lc_dlVrg5M,26555,26698,791-74-1102-386,24.0,1280,720,train
dO1LxQEoGLc,13098,13461,260-272-656-667,30.0,1920,1080,train
BzeTjn0R2VY,23005,23200,548-76-1068-596,24.0,1920,1080,train
JKsHhXwqDqM,30363,30585,648-77-969-398,25.0,1280,720,test
g9M3HIjHuq0,13635,13782,602-62-959-419,24.0,1280,720,train
kaU7IPlg9PA,5940,6114,1264-107-1691-536,25.0,1920,1080,train
oXeAWdHP0uY,6555,6853,696-101-1219-624,25.0,1920,1080,train
KzIp4IzDPG0,394,579,591-139-1125-673,25.0,1920,1080,train
DBBA2LAsepU,4487,4685,785-93-1259-567,24.0,1920,1080,train
SF9qq6vQ3Pg,10707,10856,653-114-1196-657,24.0,1920,1080,train
Ubbmje44gLg,16858,17112,937-168-1302-532,25.0,1920,1080,train
27lMmdmy-b8,18317,18820,453-62-798-407,30.0,1280,720,train
iqKYtA3pK1c,2587,2882,1108-152-1586-629,24.0,1920,1080,train
lyR-K2CZIHQ,11097,11305,810-103-1125-419,24.0,1280,720,train
KyVSuI6JyOs,20209,20340,708-76-1228-596,24.0,1920,1080,train
P2AUat93a8Q,16766,16967,644-66-949-370,24.0,1280,720,train
RjquHTj4HlY,18430,18756,1005-170-1508-673,24.0,1920,1080,train
yMWlkJAqKYU,5708,5838,314-103-636-424,24.0,1280,720,test
aTfwA1TaH3Q,8426,8637,729-54-1070-395,24.0,1280,720,train
